index,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
123,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
124,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
125,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
126,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
127,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
128,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
129,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
130,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
131,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
132,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
133,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
134,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
135,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
136,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
137,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
138,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
139,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
140,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
141,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
142,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
143,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
144,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
145,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
146,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
147,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
148,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
149,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
150,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
151,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
152,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
153,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
154,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
155,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
156,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
157,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
158,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
159,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
160,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
161,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
162,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
163,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
164,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
165,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
166,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
167,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
169,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
170,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
171,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
172,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
174,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
175,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
176,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
177,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
178,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
179,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
180,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
181,*,*,*,*,0,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
182,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
183,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
184,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
185,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
186,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
187,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
188,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
189,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
190,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
191,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
192,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
193,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
194,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
196,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
197,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
198,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
199,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
200,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
201,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Not Employed/Unknown,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
202,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
203,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
204,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
205,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
206,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
207,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
208,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
209,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
210,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
211,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
212,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
213,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
214,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
215,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Enrolled
216,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
217,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
218,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
219,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
220,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
221,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
222,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
223,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
224,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
225,*,*,*,*,0,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
226,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
227,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
228,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
229,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
230,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
231,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
232,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
233,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
234,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
235,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
236,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
237,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
238,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
239,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
240,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
241,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
242,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
243,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
244,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
245,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
246,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
247,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
248,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
